SKU,Quantity,Attribute1Values
9KB2-01,3,ONE SIZE
9KB2-01,3,ONE SIZE
9KB3-01,3,ONE SIZE
9KB3-01,3,ONE SIZE
9KB4-01,3,One Size
9KB4-01,3,One Size
88C02-51,29,"5M,5W,5.5M,5.5W,6M,6W,6.5M,6.5W,7M,7W,7.5M,7.5W,8M,8W,8.5M,8.5W,9W,9.5M,9.5W,10M,10W,10.5M,10.5W,11M,11W,11.5M,11.5W,12M,12W"
9KBL-01,4,"WOS. SM,WOS. MED"
9KBL-01,4,"WOS. SM,WOS. MED"
9KBL-01,4,"WOS. SM,WOS. MED"
9KBTS-01,4,"WOS. SM,WOS. MED"
9KBTS-01,4,"WOS. SM,WOS. MED"
9KBTS-01,4,"WOS. SM,WOS. MED"
9KBTS-02,4,"WOS SM,WOS MED"
9KBTS-02,4,"WOS SM,WOS MED"
9KBTS-02,4,"WOS SM,WOS MED"
49B144-01S,4,"6.5M,7M,8M,8.5M"
67SR01C-01,8,"CH/12M,CH/13M,1M,1.5M,2M,2.5M,3M,3.5M"
67SCK11-03,16,"3.5B,3.5C,4B,4C,4.5B,4.5C,5B,5C,5.5B,6B,6C,6.5B,6.5C,7B,7C,7.5B"
67S61-01,25,"6.5W,7M,7W,7.5M,7.5W,8M,8W,8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5M,10.5W,11M,11W,11.5M,11.5W,12M,12W,12.5M,12.5W,13M,13W"
67S28-COS,4,"7M,7.5M,9M,10M"
15A159-01,4,"5M,5W,5.5M,6M"
15A159-01,4,"5M,5W,5.5M,6M"
15A159-01,4,"5M,5W,5.5M,6M"
15A177-01,3,"8.5D,9D,14D"
15A177-01,3,"8.5D,9D,14D"
15A177-01,3,"8.5D,9D,14D"
67S28-01S,12,"6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,11M,11.5M,12.5M,13M"
88C25S-03,30,"5M,5.5M,5.5W,6M,6W,6.5N,6.5M,6.5W,7N,7M,7W,7.5N,7.5M,7.5W,8N,8M,8W,8.5N,8.5M,8.5W,9N,9M,9W,9.5N,9.5M,9.5W,10N,10M,10W"
88C380-51,14,"3M,3W,3.5M,3.5W,4M,4W,5W,5.5W,6W,6.5W,7W,8.5W,9.5M,10M"
88CH07S-03,5,"WO/PET,SM,MED,LG,XL"
88CH07S-03,5,"WO/PET,SM,MED,LG,XL"
88CH07S-03,5,"WO/PET,SM,MED,LG,XL"
99AL181-01,12,"7.5B,8C,9C,9.5C,10C,10.5B,10.5C,11B,11C,11.5B,12C,12.5C"
55S33-01,7,"7M,8M,9M,10M,11M,12M,13M,14M,15M"
55S33-01,7,"7M,8M,9M,10M,11M,12M,13M,14M,15M"
55S33-01,7,"7M,8M,9M,10M,11M,12M,13M,14M,15M"
55S33-01,7,"7M,8M,9M,10M,11M,12M,13M,14M,15M"
55S909-03S,5,"9M,9W,10M,10W,11M"
55SBR33-51S,1,
16SSLCS-66,7,"S,M,L,XL"
88C239-03,21,"6M,6W,6.5W,7M,7W,7.5M,8M,8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5W,11M,11W,11.5M,11.5W,12W"
66B261L-03,16,"3B,3.5B,4B,4C,4.5B,4.5C,5C,5.5B,5.5C,6B,6C,6.5B,6.5C,7B,7C,7.5B"
33VP20-04,9,"6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M"
33VP204 -01,6,"6.5M,7M,7.5M,8M,8.5M,9M"
67SDB22-01,25,"5M,5.5M,6M,6.5W,7M,7.5M,7.5W,8M,8W,8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5M,10.5W,11M,11W,11.5M,11.5W,12M,12W"
67SDD70-04,9,"7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M"
67SDT810-01,9,"6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M"
88C71-01,23,"5M,5.5M,6M,6.5M,6.5W,7M,7W,7.5W,8M,8W,8.5M,9M,9W,9.5M,10M,10.5M,10.5W,11M,11W,11.5W,12M,12W"
99AL965-06,15,"5B,5C,5.5C,6B,6C,6.5B,7C,7.5B,8C,8.5B,8.5C,9B,10.5B,11B,11.5B"
99AL965-06,15,"5B,5C,5.5C,6B,6C,6.5B,7C,7.5B,8C,8.5B,8.5C,9B,10.5B,11B,11.5B"
69D62-01,10,"6M,7M,8M,8.5M,9M,9.5M,10M,10.5M,11M,12M"
83OL2136-08,5,"7M,8M,9M,10M,11M"
83OL8103-06,0,"6M,8M,9M,10M"
OL838103-16,5,"7M,8M,9M,10M,11M"
830L2132-51,5,"6M,7M,8M,9M,10M"
99AL102-44,9,"6M,6.5M,7.5M,8.5M,9M,9.5M,10M,10.5M,11M"
99AL102-01,9,"6M,7M,8M,8.5M,9M,9.5M,10M,10.5M,11M"
46DMWE-01,0,
99AL964-06,18,"4B,4C,4.5B,5B,5.5B,5.5C,6B,6.5B,6.5C,7B,7C,7.5C,8B,8C,9B,9.5B,10B,10C,10.5B,10.5C,11B,11C,11.5B,11.5C"
99AL964-06,18,"4B,4C,4.5B,5B,5.5B,5.5C,6B,6.5B,6.5C,7B,7C,7.5C,8B,8C,9B,9.5B,10B,10C,10.5B,10.5C,11B,11C,11.5B,11.5C"
66B250-03,20,"2.5B,2.5C,3B,3C,3.5B,3.5C,4B,4C,4.5B,4.5C,5B,5C,5.5B,5.5C,6B,6C,6.5B,6.5C,7B,7C"
66B802-01,7,"6B,6.5B,7B,7.5B,8B,8.5B,9B"
94GV175-09,3,"6.5M,8.5M,9M"
66B404M-03,12,"7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13M"
66B404M-03,12,"7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13M"
66B404M-03,12,"7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13M"
66B404M-03,12,"7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13M"
34R13-44S,7,"5M,6M,6.5M,7M,7.5M,8M,10M"
66CH03-51,11,"CH/12M,CH/13M,CH/1M,2M,3M,4M,5M,6M,7M,8M,9M,10M"
66CH03-51,11,"CH/12M,CH/13M,CH/1M,2M,3M,4M,5M,6M,7M,8M,9M,10M"
16SSFL-08,1,WO/SM
16SSFS-01F,3,"WO/SM,WO/MED/,WO/LG"
16SSFS-66,4,"CH/MED,CH/LG,WO/MED/WO/LG"
16SSMT-04,2,"WO/SM,WO/MED"
16SSSCL-01,5,"WO/PET,WO/SM,WO/MED,WO/LG,WO/XL"
33VWB-51,3,
62GWB-06,12,ADULT ONE SIZE
69D42-03,12,"5M,5.5M,6M,6.5M,7M,7.5M,8M,9M,9.5M,10M,10.5M,11M,12M"
58CV2-03E,4,"23.5 D,24 D,24.5 D,25 D"
57FLS2-03E,5,"3.5D,4D,4.5D,5D,5.5D"
57FLCL-03E,6,"3.5 1X,4 1X,4.5 1X,4.5 2X,5.5 1X,6 1X"
55S111-04S,2,"8W,10W"
830L8104-08S,6,"7M,7.5M,8.5M,9M,10M,11M"
830L8104-08S,6,"7M,7.5M,8.5M,9M,10M,11M"
83OL8979-01,1,10M
86S1401-01P,4,"6W,8W,9W,10W"
46DNOE-01S,0,
88CPHC-10,10,One size
88CPHC-10,10,One size
88CZ11-51,6,"AD/PET = WO. 4-5,AD/SM = WO. 6-7,AD/MED = WOS. 8-9,AD/LG = WOS. 10-11,AD/XL =  WO. 12-13,AD/XXL = WO. 14-15"
88CZ11-51,6,"AD/PET = WO. 4-5,AD/SM = WO. 6-7,AD/MED = WOS. 8-9,AD/LG = WOS. 10-11,AD/XL =  WO. 12-13,AD/XXL = WO. 14-15"
88CZ11-51,6,"AD/PET = WO. 4-5,AD/SM = WO. 6-7,AD/MED = WOS. 8-9,AD/LG = WOS. 10-11,AD/XL =  WO. 12-13,AD/XXL = WO. 14-15"
88CZ11-51,6,"AD/PET = WO. 4-5,AD/SM = WO. 6-7,AD/MED = WOS. 8-9,AD/LG = WOS. 10-11,AD/XL =  WO. 12-13,AD/XXL = WO. 14-15"
88CZ11-51,6,"AD/PET = WO. 4-5,AD/SM = WO. 6-7,AD/MED = WOS. 8-9,AD/LG = WOS. 10-11,AD/XL =  WO. 12-13,AD/XXL = WO. 14-15"
86S1400-01,6,"6W,7.5W,8W,8.5W,9W,10W"
37ANLEO-87,2,"6M,7M"
45EF1165-01,2,AD/SM/MED
62G957-01,8,"6M,7M,7.5M,8M,8.5M,9M,9.5M,10M"
55P922-01,12,"6M,8M,10M,12M,13M,14M,15M,16M,17M,18M,19M,20M"
55P922-01,12,"6M,8M,10M,12M,13M,14M,15M,16M,17M,18M,19M,20M"
55P922-01,12,"6M,8M,10M,12M,13M,14M,15M,16M,17M,18M,19M,20M"
55P922-01,12,"6M,8M,10M,12M,13M,14M,15M,16M,17M,18M,19M,20M"
55P922-01,12,"6M,8M,10M,12M,13M,14M,15M,16M,17M,18M,19M,20M"
85DM467-01,2,"5M,6M"
88C44-01,16,"6M,6W,6.5M,6.5W,7M,7W,7.5M,7.5W,8M,8W,8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5M,10.5W,11M,11W,11.5W,12M,12W"
88C44-01,16,"6M,6W,6.5M,6.5W,7M,7W,7.5M,7.5W,8M,8W,8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5M,10.5W,11M,11W,11.5W,12M,12W"
49B251-19S,6,"6M,7M,7.5M,8M,8.5M,9M"
66B538-04,4,"6M,6.5M,8M,10.5M"
88C191-03,6,"3C,4C,5C,5.5C,6C,6.5C"
88C175-03,8,"2C,2E,2.5B,2.5C,3E,3.5D,4C,4.5D"
88C102-03,18,"5.5M,5.5W,6M,6W,6.5M,6.5W,7M,7W,7.5M,7.5W,8M,8W,8.5M,8.5W,9M,9W,9.5W,10W"
88C2021-01,12,"8.5W,9W,9.5W,10W,10.5W,11W,11.5W,12W,12.5M,12.5W,13W,13.5W"
23REN-03E,7,"36-3,36-4,37-3,38-2,38-3,39-2,39-4"
23LUM-03E,5,"37 3,37.5 3,27.5 4,38 3,38 4"
25AHS-03,1,
33V25HP-10,6,"2.5"" Flare Heel"
33V3HP-10,6,"3"" Heel"
66B935-03,12,"WOS. A,WOS. B,WOS. C,WOS. D"
66B940-01,8,"WOS. A,WOS B,WOS. C,WOS. D"
44L5028-01,31,"4.5M,4.5W,5M,5W,5.5M,5.5W,6M,6W,6.5M,6.5W,7M,7W,7.5M,7.5W,8M,8W,8.5M,8.5W,9M,9.5M,9.5W,10M,10W,10.5M,10.5W,11M,11W,11.5W,12W,12.5W,13.5W,14W"
62G957-51,6,"5.5M,6.5M,7M,7.5M,8M,8.5M"
45EF2202-01Y,0,
66B361-01,12,"5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,11M,11.5M"
66B30M-01,11,"6M,6.5M,7M,7.5M,8M,8.5M,9.5M,10M,10.5M,12M,12.5M,13M"
66B30M-01,11,"6M,6.5M,7M,7.5M,8M,8.5M,9.5M,10M,10.5M,12M,12.5M,13M"
67SDT715-01,8,"8.5M,9M,10M,10.5M,11.5M,12M,12.5M,13W"
66B388M-01,9,"8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M"
66B388-01,21,"CH/11M,CH/11.5M,CH/12M,CH/12.5M,CH/13M,CH/13.5M,4M,4.5M,5M,5.6M,6M,6.5M,7M,7.5M,8.5M,9M,9.5M,10M,11M,11.5M,12M"
66BP-01,9,"6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M"
66B30MS-01,15,"6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13M"
66B30MS-01,15,"6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13M"
66B160-03S,6,"3.5 3X,4 3X,4.5 3X,5 3X,5.5 3X,6 3X"
66B160-03S,6,"3.5 3X,4 3X,4.5 3X,5 3X,5.5 3X,6 3X"
66B809-01,12,"5B,5.5B,6B,6.5B,7B,7.5B,8B,8.5B,9B,9.5B,10B,11B"
88C095-01,23,"5M,5.5M,6M,6W,6.5M,6.5W,7M,7W,7.5M,7.5W,8M,8W,8.5M,9M,9W,9.5M,9.5W,10M,10W,10.5M,10.5W,11M"
66B860-01,14,"6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5m,10M,10.5M,11M,11.5M,12M,12.5M,13M"
87GB174-04,6,"7.5M,8.5M,9M,9.5M,11M,13M,14M"
87GB174-04,6,"7.5M,8.5M,9M,9.5M,11M,13M,14M"
66B389-01,25,"CH/10M,CH/10.5M,CH/11M,CH/11.5M,CH/12M,CH/12.5M,CH/13M,CH/13.5M,CH/1M,CH/1.5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,10.5M,11M,11.5M,12M"
67SDT710-01,8,"8.5M,9M,9.5M,10M,11M,11.5M,12M,12.5M"
45EF1165-66,2,"AD/SM/MED,AD/L/XL"
55S202-01,14,"8M,9W,10W,11M,11W,12M,12W,13W,14W,15W,15XW,16W,17W,18W"
55SBR24-01S,9,"5.5M,6M,6.5M,7M,7.5M,8M,8.5M,10M,11M"
55SBR30-01S,13,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,11M"
55SBR32-51S,9,"5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,10M"
55SBR34-07S,7,"5,5M,6M,6.5M,7M,7.5M,8M,8.5M"
88S39-01,16,"5W,5.5W,6.5W,7M,7W,7.5M,7.5W,8M,9W,9.5M,9.5W,10W,10.5W,11.5W,12W,12.5W,13W"
67SDD70-01,19,"7.5M,8M,8W,8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5W,11W,11.5W,12W,13W,13.5W,14W,14.5W"
55SBR20-06,10,"6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,11M"
88CDS15-01,5,"5.5M,MEN'S 11.5M,MEN'S 13M,MEN'S 14M,MEN'S 15M"
88CDS15-01,5,"5.5M,MEN'S 11.5M,MEN'S 13M,MEN'S 14M,MEN'S 15M"
88CDS15-01,5,"5.5M,MEN'S 11.5M,MEN'S 13M,MEN'S 14M,MEN'S 15M"
88C65-01,5,"6.5M,7.5M,10M,10.5M,12M"
88CDS08-01,6,"6M,6.5M,7.5M,10.5M,13M,14M"
88CDS08-01,6,"6M,6.5M,7.5M,10.5M,13M,14M"
34R13-80S,7,"5M,6M,6.5M,7M,7.5M,8M,10M"
55SV931-19,3,"7M,11M,13M"
55SV931-19,3,"7M,11M,13M"
55SV931-19,3,"7M,11M,13M"
55SV931-19,3,"7M,11M,13M"
55SV931-19,3,"7M,11M,13M"
66B216--01,6,"3B,3C,3.5B,4C,5B,5C"
88SDM10-01,24,"CH/10M,CH/10.5M,CH/11M,CH/11.5M,CH/12M,CH/12.5M,CH/13M,CH/13.5M,CH/1M,CH/1.5M,2M,2.5M,4M,4.5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M"
67SR01-01,17,"4M,4.5M,5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11.5M,12M"
67SR01-01,17,"4M,4.5M,5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11.5M,12M"
99ALB2-01,15,"4B,4.5B,5B,5.5B,6B,6.5B,7B,7.5B,8B,8.5B,9B,9.5B,10B,10.5B,11B"
95G5633-01,10,"6.5W,7W,7.5W,8W,8.5W,9W,10W,10.5W,11W,12W"
95G5633-01,10,"6.5W,7W,7.5W,8W,8.5W,9W,10W,10.5W,11W,12W"
95G6097-08,5,"9E,9.5E,10E,10.5E,11E"
95G6097-08,5,"9E,9.5E,10E,10.5E,11E"
67SDT815-01,13,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M"
87GB155-UN,4,"8.5M,9.5M,10M,10.5M"
69D300-51,9,"6M,6.5M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M"
85DM2671-01,5,"7M,8M,9M,10M,11M"
88CDS24-01,22,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13.5M,14M"
88CDS24-01,22,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13.5M,14M"
88CDS24-01,22,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13.5M,14M"
49B807-01,3,"6M,8M,9M,10M"
67SDJ05-02,15,"6W,6.5W,7W,7.5W,8.5W,9W,9.5W,10W,10.5W,11W,11.5W,12W,12.5M,13M,13.5M"
67SDJ05-02,15,"6W,6.5W,7W,7.5W,8.5W,9W,9.5W,10W,10.5W,11W,11.5W,12W,12.5M,13M,13.5M"
67SDJ05-02,15,"6W,6.5W,7W,7.5W,8.5W,9W,9.5W,10W,10.5W,11W,11.5W,12W,12.5M,13M,13.5M"
67SDJ05-02,15,"6W,6.5W,7W,7.5W,8.5W,9W,9.5W,10W,10.5W,11W,11.5W,12W,12.5M,13M,13.5M"
78N1336-01S,8,"6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M"
78NSR-51S,7,"6M,6.5M,7M,7.5M,8M,8.5M,9M"
78N1338--01S,8,"6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M"
78N1146-87,9,"5.5M,6M,6,5M,7M,7.5M,8M,8.5M,9M,10M"
78NSC-07S,6,"6M,7M,7.5M,8M,8.5M,9M"
78NSN-51S,8,"5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M"
78NSS-01,5,"6.5M,7M,7.5M,8M,8.5M"
78NSS-51S,6,"6M,6.5M,7M,7.5M,8M,8.5M"
69D200-01,11,"4M,5M,5.5M,6M,7.5M,8M,8.5M,9.5M,10M,10.5M,11M"
99AL102-07,6,"6.5M,7M,7.5M,9M,9.5M,11M"
33V417-01,11,"7M,7.5M,8M,8.5M,9.5M,10M,10.5M,11M,11.5M,12M,13M"
11B293-01,10,"5.5M,6M,6.5M,7M,8M,8.5M,9M,9.5M,10M"
11B293-01,10,"5.5M,6M,6.5M,7M,8M,8.5M,9M,9.5M,10M"
11B293-01,10,"5.5M,6M,6.5M,7M,8M,8.5M,9M,9.5M,10M"
11B205A-51L,8,"6W,6.5W,7W,7.5W,8.5W,9W,9.5W,10W"
11B205A-51L,8,"6W,6.5W,7W,7.5W,8.5W,9W,9.5W,10W"
11B286-02,6,"6M,6.5M,7M,7.5M,8M,8.5M"
11B242-01,8,"6M,6.5M,7W,7.5M,8M,8.5M,9M,9.5M"
11B273-01,3,"6.5M,7M,8.5M"
11B169-51S,9,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M"
11B2337-87,6,"7M,7.5M,8M,8.5M,9M,10M"
11B254-01S,4,"6.5M,7M,8M,8.5M"
11B223-16E,7,"6M,6.5M,7M,7.5M,8M,8.5M,9M"
11B2323-51S,6,"5.5M,6M,6.5M,7M,7.5M,8M"
11B238-51S,8,"4M,5M,5.5M,6M,6.5M,7M,8.5M,9M"
11B2332-01S,2,6M
66B379-01,16,"4M,4.5M,5M,6M,6.5M,6.5W,7M,7W,7.5M,7.5W,8M,8.5M,9M,9W,9.5W,10M"
66B404-03,14,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M"
66B404-03,14,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M"
66B404-03,14,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M"
66B404-03,14,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M"
99AL246-02,36,"3M,3W,3.5M,3.5W,4M,4W,4.5M,4.5W,5M,5W,5.5M,5.5W,6M,6W,6.5M,6.5W,7M,7W,7.5M,7.5W,8M,8W,8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5M,10.5W,11M,11W,11.5M,11.5W"
99AL246-03,32,"3M,3W,3.5M,3.5W,4M,4W,4.5M,4.5W,5M,5W,5.5W,6M,6W,6.5M,6.5W,7M,7W,7.5M,7.5W,8M,8W,8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5M,11M,11.5M"
